word,len,count,count_wiki,min_char_freq,nankuro_score
殉職,2,2,5179,13946,4.0930801019522
権勢,2,2,2732,384382,4.092969883649437
基数,2,2,1906,721516,4.092904613793764
良人,2,2,1442,555448,4.0928741508253985
科挙,2,2,2278,455714,4.092810648496449
局在,2,2,2058,296448,4.092797541854028
語形,2,2,1836,983919,4.09278866535385
好機,2,2,2339,231664,4.09255752746821
南南東,3,3,1510,1117226,4.092555897801283
吉祥,2,2,3376,83081,4.092543124918689
告別,2,2,2087,565755,4.092465066295953
節分,2,2,2294,164610,4.092461410949789
都庁,2,2,2784,119580,4.092243353421212
石仏,2,2,2723,168383,4.092113443375095
自供,2,2,1710,541075,4.0920909736128515
名子,2,2,1064,3452664,4.0919139129275095
境遇,2,2,4257,54572,4.091904061933167
投石,2,2,1999,707501,4.091703790346657
手技,2,2,1500,854680,4.091661531007309
題目,2,2,1594,1067332,4.091636495075759
実車,2,2,1488,1569964,4.091599120009015
入内,2,2,1381,1842643,4.091359897006052
眼球,2,2,3228,78967,4.091324315314492
実直,2,2,1707,823195,4.091256292522539
輪中,2,2,1850,225198,4.09119738147505
清風,2,2,2581,469715,4.091182072666619
修斗,2,2,3972,44631,4.091087349298863
傾倒,2,2,4959,97781,4.091037711313314
八橋,2,2,2353,473711,4.091001564240454
失態,2,2,2641,350083,4.0908653236206165
国電,2,2,1206,1462335,4.0907958337078085
日輪,2,2,1667,225198,4.090734749091428
殊勲,2,2,4832,100519,4.090634709032306
序説,2,2,3159,88920,4.090478828838144
完敗,2,2,2619,363358,4.090456279600305
躍動,2,2,2127,187158,4.090454388629056
朝貢,2,2,3119,95263,4.0904442427335335
匹敵,2,2,8083,9619,4.0904205304462495
本末,2,2,1498,311964,4.090395394931496
小雪,2,2,2450,129860,4.090394078903465
岸壁,2,2,4257,73757,4.090233308190977
石清水,3,3,1927,469715,4.090195208414521
追従,2,2,2912,302941,4.090188208399227
万物,2,2,2194,140692,4.090146165998025
増産,2,2,2229,375273,4.09009999672142
防戦,2,2,1698,582686,4.0900893637100335
定点,2,2,1318,1457814,4.089968577625055
調音,2,2,1843,815722,4.089897350104185
片町,2,2,2796,178210,4.089889635136404
海自,2,2,1290,1945330,4.089824708953513
三里,2,2,2129,373098,4.089813039234347
控除,2,2,3848,22207,4.089731366610362
信愛,2,2,1832,739645,4.089711162355064
模擬,2,2,5205,23990,4.089626019248616
目下,2,2,1363,2009373,4.089508667544461
字母,2,2,2499,381822,4.089480240401819
目途,2,2,2221,219203,4.089306896611225
南門,2,2,1857,907588,4.089236463623241
亜鉛,2,2,6421,17118,4.089082125593673
黒鹿毛,3,3,3220,165459,4.088997513400477
席上,2,2,1966,242914,4.088924580618858
細道,2,2,1736,404511,4.088906388971331
快活,2,2,2731,112324,4.0888688391157295
新都,2,2,1415,1343114,4.0888473407584875
球児,2,2,2266,395696,4.088780151020957
締約,2,2,2852,232006,4.088768216286661
講話,2,2,2228,369654,4.0887550309749034
戸口,2,2,1814,886324,4.088745764980973
梨子,2,2,2040,157916,4.088700063529124
駒大,2,2,1980,82672,4.088653876160986
育種,2,2,2044,711915,4.088621853602871
友軍,2,2,2138,410766,4.088545448908002
輪舞,2,2,3060,225198,4.088273107608909
寒冷,2,2,5695,44740,4.088201721421509
浴場,2,2,3015,23739,4.088149970777125
図法,2,2,1870,586569,4.088140043273977
酷評,2,2,4377,40586,4.088125843487908
成金,2,2,1294,1319686,4.088114114607717
八丁,2,2,2521,473711,4.08777665224829
底部,2,2,2252,96882,4.087737901926013
全学連,3,3,1111,1770342,4.087701889696309
冷泉,2,2,3647,119671,4.0876808802357765
開眼,2,2,2472,78967,4.087638518729285
訴追,2,2,3553,115125,4.087623803867729
水鳥,2,2,2140,314007,4.087604099068718
試聴,2,2,3006,137213,4.087547015099471
版元,2,2,2031,658742,4.087481994972784
譜面,2,2,3019,81711,4.087383128159085
全容,2,2,1745,743807,4.08735858265708
義援,2,2,2233,376392,4.087346718124144
異体,2,2,2043,287189,4.087323936957266
錦織,2,2,4456,40607,4.08731234249373
密生,2,2,1880,301344,4.087274102472675
清浄,2,2,3847,70039,4.087240699253077
盗作,2,2,2125,96808,4.087188681811629
小梅,2,2,2463,120490,4.0871235943480935
農芸,2,2,2594,359383,4.087039436705247
化物,2,2,1316,1454666,4.087026123985011
直観,2,2,2144,609083,4.087025987873975
光風,2,2,2280,478906,4.08697187023001
遊技,2,2,2817,164014,4.086961361399898
私学,2,2,1794,143497,4.086907226924885
現有,2,2,1539,1134801,4.0868302528875775
南光,2,2,1900,785195,4.086755265720635
登坂,2,2,2173,413896,4.086651108944764
上質,2,2,1686,480288,4.086649465056251
