word,len,count,count_wiki,min_char_freq
西海道,3,3,575,1509659
西班牙,3,3,105,4980
視聴覚,3,3,2814,137213
言葉数,3,3,104,712844
許認可,3,3,913,201259
越後屋,3,3,1111,275807
農山村,3,3,328,359383
農山漁村,4,4,1855,83994
農水産,3,3,391,359383
農漁村,3,3,163,83994
農漁業,3,3,125,83994
近現代,3,3,9664,884882
迷子石,3,3,124,67753
遠日点,3,3,777,264938
遠近法,3,3,1114,264938
那由多,3,3,474,163886
部屋子,3,3,151,933702
酒問屋,3,3,157,151289
鍛冶場,3,3,254,16009
鍛冶屋,3,3,3212,16009
長岡京,3,3,2716,1397864
陸屋根,3,3,109,464305
陸海空軍,4,4,448,724614
陸海軍,3,3,10301,724614
露西亜,3,3,313,180325
青鹿毛,3,3,1117,165459
預貯金,3,3,444,21039
風呂屋,3,3,509,66749
風呂釜,3,3,128,43864
風太郎,3,3,1712,478906
風邪薬,3,3,379,46379
駐停車,3,3,318,172566
高体連,3,3,451,2196583
高句麗,3,3,8438,74430
高野連,3,3,920,2527301
鹿児島,3,3,148612,323153
黄泉比良坂,5,5,146,157658
黄金色,3,3,1120,157658
黒鹿毛,3,3,3220,165459
