char,freq
醸,42
錐,42
陳,42
陶,42
仰,41
凹,41
培,41
帆,41
暮,41
桑,41
浸,41
涼,41
渦,41
濫,41
禽,41
紛,41
臘,41
葵,41
蠅,41
輔,41
遷,41
錦,41
閃,41
駒,41
鶴,41
叢,40
塚,40
寐,40
弧,40
昔,40
潤,40
皿,40
篇,40
膝,40
芥,40
蛾,40
輩,40
鋭,40
雌,40
騰,40
吾,39
啓,39
宴,39
届,39
徹,39
憂,39
揮,39
涯,39
濁,39
炊,39
眉,39
禍,39
穏,39
舗,39
葱,39
藁,39
蠟,39
詳,39
跳,39
雁,39
頑,39
冥,38
嘆,38
奪,38
巴,38
惨,38
批,38
昨,38
珪,38
礎,38
艶,38
葛,38
葦,38
蒼,38
訟,38
誕,38
購,38
遁,38
鈍,38
鍵,38
隷,38
鳳,38
仔,37
卸,37
困,37
垢,37
嫁,37
嬌,37
寂,37
尚,37
控,37
旦,37
暑,37
枚,37
栽,37
椎,37
爾,37
穀,37
粛,37
糧,37
蒙,37
蝕,37
貌,37
貞,37
這,37
酷,37
頼,37
伴,36
剌,36
募,36
叔,36
嘉,36
彫,36
摂,36
摘,36
杖,36
歎,36
汽,36
洲,36
濤,36
猪,36
苗,36
蝠,36
遍,36
雛,36
伸,35
兇,35
庶,35
弊,35
恨,35
昆,35
浦,35
爵,35
畑,35
矮,35
緒,35
縫,35
繍,35
蝙,35
蝿,35
賦,35
較,35
逢,35
埋,34
挽,34
撒,34
沼,34
璃,34
稼,34
箸,34
肢,34
臼,34
蜻,34
豹,34
軒,34
醤,34
鉤,34
乃,33
匠,33
嘴,33
國,33
岳,33
慾,33
摺,33
棲,33
汎,33
洒,33
猩,33
琉,33
瘡,33
盃,33
禄,33
穿,33
缶,33
萄,33
蛍,33
躍,33
辯,33
閲,33
頃,33
乏,32
剥,32
呪,32
壌,32
尋,32
扁,32
抱,32
搗,32
撞,32
敏,32
棟,32
汰,32
瀬,32
煎,32
牽,32
玩,32
矯,32
碧,32
繩,32
翁,32
衍,32
讃,32
贈,32
辻,32
迎,32
頓,32
髭,32
乞,31
勉,31
曼,31
桶,31
槽,31
渋,31
焚,31
爛,31
牢,31
獲,31
磯,31
窒,31
篭,31
蜀,31
輝,31
隅,31
驚,31
冊,30
哉,30
唄,30
嗜,30
囚,30
坑,30
壷,30
婢,30
懇,30
拙,30
敢,30
檣,30
欺,30
沃,30
滴,30
烟,30
焦,30
繰,30
聯,30
胚,30
茫,30
蛋,30
詠,30
釘,30
釜,30
鋳,30
伐,29
倭,29
偉,29
凸,29
厭,29
坂,29
堕,29
娼,29
嶺,29
彙,29
悔,29
搬,29
柏,29
桂,29
桐,29
漆,29
疹,29
瞬,29
碁,29
祇,29
祥,29
竿,29
笹,29
膳,29
葺,29
藪,29
蛉,29
趾,29
踊,29
醜,29
閥,29
阻,29
陋,29
陵,29
丼,28
亭,28
促,28
函,28
刈,28
勿,28
哨,28
喉,28
喚,28
喧,28
喰,28
噛,28
婉,28
宜,28
弔,28
戴,28
桁,28
梟,28
椒,28
檀,28
泌,28
燐,28
瑠,28
疋,28
痺,28
租,28
稀,28
窩,28
紡,28
紹,28
縛,28
苑,28
茅,28
荘,28
蕩,28
蕭,28
蛸,28
賓,28
赫,28
赭,28
蹈,28
辰,28
鋸,28
陥,28
陪,28
鞘,28
些,27
呉,27
咄,27
啼,27
妨,27
屠,27
崇,27
怒,27
惜,27
拘,27
播,27
椿,27
楓,27
泰,27
溜,27
漸,27
濡,27
瑞,27
秩,27
筑,27
簾,27
膨,27
萩,27
褒,27
邑,27
霰,27
頬,27
餌,27
串,26
剪,26
劫,26
勲,26
堤,26
塾,26
奨,26
孝,26
寧,26
廊,26
悟,26
憤,26
扉,26
拒,26
按,26
机,26
柿,26
欝,26
渾,26
疏,26
瘍,26
祈,26
羞,26
苛,26
蕃,26
薦,26
蝉,26
袴,26
誠,26
郡,26
醒,26
隙,26
頻,26
顛,26
飴,26
馴,26
鮨,26
鰻,26
麁,26
冒,25
厄,25
咽,25
嗣,25
娩,25
廉,25
弘,25
恥,25
悩,25
扱,25
披,25
拓,25
挺,25
掲,25
摸,25
撰,25
昭,25
朗,25
桟,25
梁,25
梯,25
椅,25
槌,25
潰,25
煉,25
爽,25
碑,25
箪,25
粋,25
糊,25
紗,25
絃,25
繋,25
薇,25
蜥,25
蜴,25
覇,25
訶,25
誦,25
辨,25
錬,25
闊,25
闕,25
鰯,25
鴉,25
鷹,25
冶,24
劃,24
匿,24
叛,24
呈,24
套,24
姑,24
扨,24
旁,24
椰,24
榴,24
橘,24
灌,24
燭,24
瘤,24
矛,24
窃,24
絨,24
緋,24
翌,24
膣,24
膿,24
蓬,24
薔,24
裡,24
詐,24
誓,24
諭,24
謡,24
貢,24
辱,24
逮,24
郊,24
鍛,24
鑿,24
頚,24
顎,24
鰭,24
鳶,24
鷺,24
鹸,24
什,23
侯,23
偵,23
傲,23
剖,23
厨,23
后,23
呆,23
堆,23
塑,23
娠,23
嫡,23
嬢,23
宵,23
屍,23
忰,23
懲,23
戻,23
搾,23
斐,23
昏,23
杜,23
栖,23
檜,23
渇,23
煩,23
猶,23
班,23
秤,23
緯,23
舵,23
薯,23
践,23
轄,23
郭,23
餐,23
剝,22
勃,22
吊,22
庵,22
悉,22
截,22
握,22
擲,22
斬,22
枢,22
棘,22
櫛,22
欣,22
汲,22
潔,22
濾,22
瀉,22
疣,22
痘,22
盾,22
禿,22
箋,22
粕,22
粥,22
聚,22
茄,22
荼,22
萎,22
蔭,22
薫,22
袁,22
訂,22
譚,22
賠,22
蹟,22
酪,22
錠,22
鷸,22
麟,22
于,21
佩,21
克,21
宛,21
嵐,21
憑,21
托,21
抹,21
拉,21
撤,21
旭,21
暁,21
曇,21
杏,21
杓,21
柴,21
槃,21
沿,21
淋,21
潟,21
焔,21
熔,21
猥,21
珊,21
疽,21
癒,21
癡,21
稚,21
糠,21
罵,21
翠,21
膏,21
膠,21
臍,21
苺,21
蕉,21
逓,21
邸,21
靄,21
鬚,21
鱈,21
鷲,21
享,20
佞,20
俯,20
俵,20
刹,20
勁,20
勾,20
填,20
墜,20
尉,20
屎,20
悦,20
慕,20
拾,20
撫,20
暫,20
曠,20
朴,20
朽,20
梗,20
毀,20
沫,20
洛,20
溢,20
澹,20
瓊,20
疵,20
籤,20
紳,20
紺,20
綴,20
繞,20
翰,20
耗,20
腿,20
舶,20
荊,20
蔽,20
虹,20
蠣,20
谿,20
躁,20
辣,20
迂,20
迅,20
酌,20
阜,20
隆,20
雉,20
鞍,20
餓,20
饅,20
駝,20
鬢,20
鰹,20
麝,20
俸,19
僕,19
兜,19
准,19
啄,19
喩,19
囘,19
坡,19
堀,19
堡,19
嶮,19
怠,19
憐,19
捷,19
桝,19
沸,19
洪,19
涅,19
渠,19
滋,19
濯,19
狸,19
瑣,19
磐,19
礬,19
篤,19
綬,19
綾,19
緬,19
肋,19
肛,19
脾,19
舷,19
諫,19
貪,19
輯,19
隻,19
顆,19
饌,19
鰓,19
佛,18
俊,18
倚,18
兆,18
刎,18
卿,18
咸,18
嘗,18
妃,18
婿,18
巫,18
恰,18
慎,18
慧,18
慨,18
挑,18
掩,18
曖,18
柚,18
桿,18
款,18
毬,18
溌,18
滓,18
漠,18
濶,18
爬,18
璽,18
瓢,18
窯,18
竺,18
綺,18
芬,18
范,18
藝,18
蛭,18
諦,18
諧,18
謬,18
采,18
鍼,18
霞,18
鞭,18
頌,18
飄,18
駕,18
髯,18
魅,18
黍,18
俚,17
俺,17
傑,17
億,17
匹,17
升,17
叩,17
唾,17
喇,17
嗅,17
嫉,17
孺,17
宋,17
寇,17
屯,17
崖,17
庸,17
廟,17
悍,17
揺,17
搭,17
某,17
樺,17
欽,17
毫,17
渓,17
游,17
湘,17
瀾,17
牝,17
疲,17
痙,17
癬,17
盧,17
砒,17
稜,17
箒,17
粟,17
緻,17
縷,17
耀,17
聾,17
菖,17
諷,17
迹,17
鄙,17
酬,17
鎗,17
鎧,17
閻,17
韋,17
頤,17
飜,17
鰐,17
鱒,17
麹,17
伺,16
偸,16
僻,16
冪,16
勒,16
匙,16
卜,16
只,16
咬,16
哺,16
唖,16
坪,16
墳,16
姻,16
學,16
寵,16
峡,16
峻,16
巒,16
帖,16
帛,16
廓,16
弄,16
徐,16
悠,16
惣,16
惰,16
憎,16
撥,16
斧,16
旬,16
李,16
樽,16
汐,16
沓,16
溺,16
炬,16
燵,16
牟,16
牲,16
畿,16
癇,16
皺,16
砥,16
祓,16
竈,16
粂,16
絞,16
綜,16
耆,16
肘,16
肴,16
腱,16
膵,16
薪,16
褥,16
詣,16
詭,16
輿,16
閨,16
髷,16
鴻,16
鵞,16
鸚,16
鹹,16
黴,16
乍,15
來,15
倹,15
傭,15
凄,15
凉,15
努,15
吻,15
喝,15
嘩,15
囃,15
妾,15
媚,15
孟,15
屏,15
已,15
悼,15
把,15
拐,15
搏,15
曽,15
椀,15
檎,15
殉,15
溟,15
滝,15
濠,15
焉,15
犀,15
琵,15
瑚,15
礁,15
礫,15
禹,15
禾,15
竪,15
笥,15
纂,15
纏,15
脅,15
臆,15
芯,15
茨,15
莢,15
萌,15
萱,15
董,15
蒐,15
蔑,15
蜱,15
觀,15
賜,15
賭,15
躬,15
躯,15
逝,15
遙,15
鉾,15
錫,15
鍾,15
飩,15
餡,15
骸,15
鵝,15
亢,14
偃,14
僅,14
僭,14
几,14
匪,14
卯,14
叫,14
哇,14
哈,14
哭,14
圃,14
埼,14
寓,14
巌,14
帥,14
幌,14
幡,14
弉,14
彌,14
彎,14
悶,14
戚,14
戟,14
拱,14
挫,14
掠,14
晦,14
曝,14
樂,14
櫨,14
歿,14
殆,14
浚,14
淮,14
溪,14
烹,14
犠,14
痒,14
痢,14
瞑,14
礙,14
祠,14
秒,14
穫,14
箔,14
繭,14
羯,14
脛,14
芒,14
莱,14
薮,14
藉,14
虱,14
蜚,14
蝗,14
衷,14
裾,14
襤,14
誇,14
諜,14
讐,14
贔,14
蹴,14
輻,14
遡,14
遭,14
邁,14
鋏,14
鍬,14
頽,14
駁,14
鯉,14
鯖,14
鶯,14
麩,14
鼬,14
仇,13
侮,13
兀,13
冤,13
剋,13
嗟,13
嘔,13
嘱,13
噺,13
坦,13
妥,13
嬰,13
宏,13
寥,13
庖,13
庚,13
弗,13
忙,13
愴,13
慌,13
懼,13
戎,13
拶,13
捻,13
擾,13
攘,13
斥,13
晨,13
棺,13
漉,13
灸,13
熨,13
燻,13
琶,13
畔,13
眷,13
瞞,13
瞰,13
瞼,13
矜,13
祷,13
穎,13
箆,13
糜,13
糟,13
肯,13
茲,13
菅,13
萬,13
蒔,13
蓼,13
蘆,13
蘿,13
虻,13
蛄,13
蟇,13
裙,13
諺,13
讒,13
贋,13
赦,13
迄,13
鉋,13
鋒,13
錨,13
阮,13
陛,13
雖,13
鞋,13
餠,13
饂,13
鮎,13
鮒,13
鮪,13
鮭,13
鴎,13
鸞,13
鹼,13
仄,12
兒,12
兮,12
凛,12
卦,12
叱,12
吃,12
嘯,12
堯,12
塀,12
塘,12
墻,12
壕,12
夾,12
奕,12
妍,12
娯,12
媽,12
孕,12
宰,12
庇,12
拭,12
掴,12
攣,12
攪,12
攫,12
斡,12
昌,12
朔,12
朦,12
杭,12
栃,12
桧,12
梧,12
楚,12
槓,12
橙,12
漕,12
煤,12
璧,12
畢,12
疱,12
痩,12
瞋,12
瞿,12
碍,12
磅,12
礦,12
禀,12
稟,12
筵,12
篆,12
羈,12
翫,12
耽,12
肆,12
腋,12
蕪,12
薊,12
蝸,12
褄,12
褻,12
諒,12
讚,12
貼,12
賈,12
跏,12
蹠,12
轟,12
遵,12
邇,12
醇,12
鈎,12
鋤,12
錆,12
錘,12
鑵,12
靡,12
頗,12
顱,12
飢,12
駱,12
魁,12
鯊,12
鯵,12
鰈,12
鶸,12
麭,12
丑,11
亥,11
佚,11
倖,11
凱,11
叡,11
咒,11
咳,11
啖,11
啞,11
喘,11
埃,11
夙,11
妬,11
姥,11
寨,11
崙,11
巳,11
廣,11
弼,11
徊,11
忽,11
恭,11
惶,11
慄,11
憩,11
憫,11
戊,11
挨,11
据,11
捲,11
旺,11
曰,11
枷,11
桓,11
梶,11
棹,11
椽,11
楕,11
楷,11
樋,11
樫,11
櫃,11
氈,11
氣,11
泄,11
涸,11
淑,11
淘,11
渺,11
澱,11
濛,11
瀑,11
灼,11
